Name, Gender
ADALBERT WAFFLING, M
ADRIAN PUCEY, M
ALBUS DUMBLEDORE, M
ALGIE LONGBOTTOM, M
ALICIA SPINNET, F
ANGELINA JOHNSON, F
ARGUS FILCH, M
ARSENIUS JIGGER, M
BATHILDA BAGSHOT, F
BLAISE ZABINI, M
BLOODY BARON, M
CHARLIE WEASLEY, M
DEDALUS DIGGLE, M
DORIS CROCKFORD, F
DRACO MALFOY, M
DUDLEY DURSLEY, M
ENID, F
FRED WEASLEY, M
GEORGE WEASLEY, M
GINNY WEASLEY, F
GREGORY GOYLE, M
GREGORY THE SMARMY, M
GRINGOTTS SPOKESGOBLIN, M
HANNAH ABBOTT, F
HARRY POTTER, M
HERMIONE GRANGER, F
JAMES POTTER, M
JIM MCGUFFIN, M
JUSTIN FINCH-FLETCHEY, M
KATIE BELL, F
LEE JORDAN, M
LILY POTTER, F
LISA TURPIN, F
LUCIUS MALFOY, M
MADAM HOOCH, F
MADAM MALKIN, F
MADAM POMFREY, F
MANDY BROCKLEHURST, F
MARCUS FLINT, M
MILLICENT BULSTRODE, M
MINERVA MCGONAGALL, F
MIRANDA GOSHAWK, F
MOLLY WEASLEY, F
MORAG MACDOUGAL, F
MR. FINNIGAN, M
MRS. FINNIGAN, F
MRS. NORRIS, F
NARCISSA MALFOY, F
NEVILLE LONGBOTTOM, M
NEWT SCAMANDER, M
NOTT, M
PADMA PATIL, F
PARVATI PATIL, F
PERCY WEASLEY, M
PERENELLE FLAMEL, F
PETUNIA DURSLEY, F
PHYLLIDA SPORE, F
PROFESSOR BINNS, M
PROFESSOR FLITWICK, M
PROFESSOR QUIRRELL, M
PROFESSOR SPROUT, F
QUENTIN TRIMBLE, M
RON WEASLEY, M
RUBEUS HAGRID, M
SALLY-ANNE PERKS, F
SEAMUS FINNIGAN, M
SEVERUS SNAPE, M
SIR NICHOLAS DE MIMST-PORPINGTON, M
SIRIUS BLACK, M
SUSAN BONES, F
TERRENCE HIGGS, M
TERRY BOOT, M
TOM MARVOLO RIDDLE, M
VERNON DURSLEY, M
VINCENT CRABBE, M
VINDICTUS VRIDIAN, M
