,Vernon Dursley ,Petunia Dursley ,Dudley Dursley ,Lily Potter ,James Potter ,Harry Potter ,Minerva McGonagall ,Mrs. Next Door, ted ,Jim McGuffin ,Albus Dumbledore ,Dedalus Diggle ,Tom Marvolo Riddle ,Madam Pomfrey ,Rubeus Hagrid ,Sirius Black ,Tibbles  ,Snowy  ,Mr. Paws  ,Tufty  ,Yvonne,Piers Polkiss,Zoo director,Dennis  ,Malcolm  ,Gordon  ,Owl  ,Miranda Goshawk ,Bathilda Bagshot ,Adalbert Waffling ,Emerica Switch ,Phyllida Spore ,Arsenius Jigger ,Newt Scamander ,Quentin Trimble ,Tom ,Doris Crockford ,Professor Quirrell ,Plump woman ,Goblins ,Madam Malkin ,Draco Malfoy ,Vindictus Vridian ,Hedwig,Mr. Ollivander,Ginny Weasley ,Percy Weasley ,Fred Weasley ,George Weasley ,Ron Weasley ,Trevor  ,Neville Longbottom ,Lee Jordan ,Charlie Weasley,Scabbers  ,"Smiling, dimpled woman  ",Agrippa,Ptolemy  ,Grindelwald,Nicolas Flamel,Morgana,Hengist of Woodcroft,Alberic Grunnion,Circe,Paracelsus,Merlin,Cliodna,Hermione Granger ,Vincent Crabbe ,Gregory Goyle ,Fat Friar  ,Sir Nicholas de Mimst-Porpington ,Sorting Hat,Hannah Abbott ,Susan Bones ,Terry Boot ,Mandy Brocklehurst ,Millicent Bulstrode ,Justin Finch-Fletchey ,Seamus Finnigan ,Morag MacDougal ,Moon  ,Nott,Pansy Parkinson  ,Parvati Patil ,Sally-Anne Perks ,Dean Thomas  ,Lisa Turpin ,Blaise Zabini ,Bloody Baron ,Algie Longbottom ,Enid  ,Severus Snape ,Argus Filch ,Madam Hooch ,Peeves  ,Fat Lady  ,Mrs. Norris ,Professor Sprout ,Professor Binns  ,Uric the Oddball,Professor Flitwick ,Fang  ,Gringotts spokesgoblin,Oliver Wood  ,Gregory the Smarmy,Fluffy  ,Troll  ,Angelina Johnson  ,Alicia Spinnet  ,Marcus Flint  ,Katie Bell ,Adrian Pucey  ,Terence Higgs  ,Madam Pince  ,Perenelle Flamel ,Norbert  ,Ronan  ,Bane  ,Firenze  ,Elfric the Eager
0,0,88,36,6,8,68,6,2,0,2,0,2,2,0,14,0,0,0,0,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,88,0,32,6,8,66,8,2,0,2,0,2,0,0,12,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,32,0,2,2,126,0,2,0,2,0,0,0,0,10,0,2,2,2,2,0,2,2,2,2,2,22,0,0,0,0,0,0,0,0,8,0,0,0,0,2,2,2,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,6,2,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,8,2,12,0,40,2,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5,68,66,126,12,40,0,98,0,0,0,10,4,22,16,326,0,2,10,2,2,2,2,2,2,2,2,124,0,0,0,0,0,0,0,0,44,6,110,8,6,12,118,2,20,22,2,4,44,28,594,2,104,8,4,10,0,0,0,0,10,2,2,2,2,2,2,2,316,28,30,2,0,4,2,2,2,2,2,2,28,2,20,2,0,4,2,2,2,2,2,2,2,2,52,12,14,10,10,6,2,0,18,20,0,4,0,40,36,0,0,6,0,0,2,4,4,22,10,22,22,2
6,6,8,0,0,2,98,0,0,0,0,2,2,4,0,26,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,8,0,8,0,0,0,14,0,0,0,0,2,2,2,48,0,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,4,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,4,0,2,2,0,4,0,0,12,0,0,4,0,4,8,0,2,2,2,2,0,0,0,4,0,0,0,0
7,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
