Source,Target,t,Type
492,938,28820,Undirected
267,272,28860,Undirected
181,826,29300,Undirected
79,181,29780,Undirected
150,196,30000,Undirected
21,150,30020,Undirected
21,205,30060,Undirected
21,150,30060,Undirected
448,826,30060,Undirected
765,826,30060,Undirected
39,253,30280,Undirected
80,253,30280,Undirected
123,845,30360,Undirected
118,311,30380,Undirected
95,118,30380,Undirected
80,95,30380,Undirected
123,845,30380,Undirected
95,311,30380,Undirected
118,311,30400,Undirected
80,118,30400,Undirected
95,118,30400,Undirected
123,845,30400,Undirected
95,311,30400,Undirected
118,311,30420,Undirected
95,118,30420,Undirected
95,311,30420,Undirected
123,845,30420,Undirected
118,311,30440,Undirected
118,771,30440,Undirected
95,771,30440,Undirected
311,771,30440,Undirected
95,118,30440,Undirected
123,845,30440,Undirected
95,311,30440,Undirected
118,311,30460,Undirected
21,205,30460,Undirected
95,771,30460,Undirected
95,118,30460,Undirected
123,845,30460,Undirected
95,311,30460,Undirected
118,771,30460,Undirected
118,311,30480,Undirected
95,771,30480,Undirected
95,118,30480,Undirected
123,845,30480,Undirected
95,311,30480,Undirected
123,845,30500,Undirected
123,845,30520,Undirected
153,205,30520,Undirected
123,845,30540,Undirected
123,845,30560,Undirected
164,311,30560,Undirected
123,845,30580,Undirected
21,179,30640,Undirected
123,845,30640,Undirected
311,481,30720,Undirected
79,122,31220,Undirected
39,120,31560,Undirected
39,120,31580,Undirected
39,120,31620,Undirected
39,120,31640,Undirected
39,120,31680,Undirected
39,120,31700,Undirected
122,448,31840,Undirected
122,448,31860,Undirected
122,448,31880,Undirected
122,448,31900,Undirected
21,150,31900,Undirected
39,120,32020,Undirected
39,120,32040,Undirected
39,120,32060,Undirected
39,120,32080,Undirected
39,120,32100,Undirected
39,120,32200,Undirected
39,120,32260,Undirected
39,120,32280,Undirected
39,120,32300,Undirected
21,150,32300,Undirected
39,120,32320,Undirected
39,120,32340,Undirected
120,819,32360,Undirected
431,778,33300,Undirected
271,601,33340,Undirected
431,778,33400,Undirected
431,778,33480,Undirected
431,778,33560,Undirected
15,95,33560,Undirected
56,194,33660,Undirected
56,194,33680,Undirected
194,786,33720,Undirected
194,311,33720,Undirected
311,786,33740,Undirected
311,786,33760,Undirected
194,786,33780,Undirected
194,786,33800,Undirected
194,311,33800,Undirected
311,786,33820,Undirected
194,786,33820,Undirected
311,786,33840,Undirected
311,786,33860,Undirected
194,786,33860,Undirected
194,786,33880,Undirected
194,786,33960,Undirected
311,786,33960,Undirected
194,786,33980,Undirected
95,311,34020,Undirected
95,205,34020,Undirected
271,601,34040,Undirected
21,603,34040,Undirected
205,311,34040,Undirected
95,311,34060,Undirected
95,311,34080,Undirected
95,123,34180,Undirected
205,311,34260,Undirected
150,271,34320,Undirected
